               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     3.27701903539186E-10     5.86553499616140E-08     7.25611284534894E-08     8.33327369116394E-02     7.25611284534894E-08     5.86553481028183E-08     3.27703762334949E-10     4.49486370364519E+11     1.00000000000000E-02
     3.30978893351801E-10     5.92419016097090E-08     7.32867374243274E-08     8.33327342807642E-02     7.32867374243274E-08     5.92418997135517E-08     3.30980789509079E-10     4.53981219721592E+11     1.01000000000000E-02
     3.34255882585742E-10     5.98284532211400E-08     7.40123463493495E-08     8.33327316498891E-02     7.40123463493495E-08     5.98284512872495E-08     3.34257816476292E-10     4.58476068794572E+11     1.02000000000000E-02
     3.37532871241012E-10     6.04150047959071E-08     7.47379552285555E-08     8.33327290190142E-02     7.47379552285555E-08     6.04150028239115E-08     3.37534843236590E-10     4.62970917583462E+11     1.03000000000000E-02
     3.40809859317609E-10     6.10015563340103E-08     7.54635640619457E-08     8.33327263881395E-02     7.54635640619457E-08     6.10015543235379E-08     3.40811869789971E-10     4.67465766088259E+11     1.04000000000000E-02
     3.44086846815534E-10     6.15881078354496E-08     7.61891728495199E-08     8.33327237572649E-02     7.61891728495199E-08     6.15881057861287E-08     3.44088896136437E-10     4.71960614308965E+11     1.05000000000000E-02
     3.47363833734786E-10     6.21746593002249E-08     7.69147815912781E-08     8.33327211263906E-02     7.69147815912781E-08     6.21746572116837E-08     3.47365922275987E-10     4.76455462245580E+11     1.06000000000000E-02
     3.50640820075366E-10     6.27612107283363E-08     7.76403902872204E-08     8.33327184955163E-02     7.76403902872204E-08     6.27612086002031E-08     3.50642948208620E-10     4.80950309898102E+11     1.07000000000000E-02
     3.53917805837274E-10     6.33477621197838E-08     7.83659989373467E-08     8.33327158646423E-02     7.83659989373467E-08     6.33477599516867E-08     3.53919973934338E-10     4.85445157266533E+11     1.08000000000000E-02
     3.57194791020509E-10     6.39343134745674E-08     7.90916075416570E-08     8.33327132337684E-02     7.90916075416570E-08     6.39343112661347E-08     3.57196999453139E-10     4.89940004350873E+11     1.09000000000000E-02
     3.60471775625072E-10     6.45208647926870E-08     7.98172161001514E-08     8.33327106028947E-02     7.98172161001514E-08     6.45208625435471E-08     3.60474024765025E-10     4.94434851151121E+11     1.10000000000000E-02
     3.63748759650962E-10     6.51074160741427E-08     8.05428246128299E-08     8.33327079720211E-02     8.05428246128299E-08     6.51074137839237E-08     3.63751049869994E-10     4.98929697667277E+11     1.11000000000000E-02
     3.67025743098180E-10     6.56939673189345E-08     8.12684330796924E-08     8.33327053411477E-02     8.12684330796924E-08     6.56939649872646E-08     3.67028074768047E-10     5.03424543899341E+11     1.12000000000000E-02
     3.70302725966726E-10     6.62805185270624E-08     8.19940415007389E-08     8.33327027102745E-02     8.19940415007389E-08     6.62805161535699E-08     3.70305099459185E-10     5.07919389847314E+11     1.13000000000000E-02
     3.73579708256599E-10     6.68670696985263E-08     8.27196498759695E-08     8.33327000794014E-02     8.27196498759695E-08     6.68670672828395E-08     3.73582123943406E-10     5.12414235511196E+11     1.14000000000000E-02
     3.76856689967800E-10     6.74536208333264E-08     8.34452582053841E-08     8.33326974485285E-02     8.34452582053841E-08     6.74536183750734E-08     3.76859148220711E-10     5.16909080890985E+11     1.15000000000000E-02
     3.80133671100328E-10     6.80401719314624E-08     8.41708664889828E-08     8.33326948176558E-02     8.41708664889828E-08     6.80401694302717E-08     3.80136172291101E-10     5.21403925986683E+11     1.16000000000000E-02
     3.83410651654184E-10     6.86267229929346E-08     8.48964747267655E-08     8.33326921867833E-02     8.48964747267655E-08     6.86267204484342E-08     3.83413196154574E-10     5.25898770798290E+11     1.17000000000000E-02
     3.86687631629367E-10     6.92132740177429E-08     8.56220829187323E-08     8.33326895559109E-02     8.56220829187323E-08     6.92132714295611E-08     3.86690219811131E-10     5.30393615325804E+11     1.18000000000000E-02
     3.89964611025879E-10     6.97998250058872E-08     8.63476910648831E-08     8.33326869250386E-02     8.63476910648831E-08     6.97998223736523E-08     3.89967243260772E-10     5.34888459569228E+11     1.19000000000000E-02
     3.93241589843718E-10     7.03863759573676E-08     8.70732991652180E-08     8.33326842941666E-02     8.70732991652180E-08     7.03863732807078E-08     3.93244266503497E-10     5.39383303528559E+11     1.20000000000000E-02
     3.96518568082884E-10     7.09729268721841E-08     8.77989072197369E-08     8.33326816632947E-02     8.77989072197369E-08     7.09729241507276E-08     3.96521289539306E-10     5.43878147203799E+11     1.21000000000000E-02
     3.99795545743378E-10     7.15594777503366E-08     8.85245152284398E-08     8.33326790324230E-02     8.85245152284398E-08     7.15594749837118E-08     3.99798312368199E-10     5.48372990594947E+11     1.22000000000000E-02
     4.03072522825200E-10     7.21460285918252E-08     8.92501231913268E-08     8.33326764015514E-02     8.92501231913268E-08     7.21460257796603E-08     4.03075334990176E-10     5.52867833702004E+11     1.23000000000000E-02
     4.06349499328349E-10     7.27325793966500E-08     8.99757311083979E-08     8.33326737706800E-02     8.99757311083979E-08     7.27325765385731E-08     4.06352357405237E-10     5.57362676524969E+11     1.24000000000000E-02
     4.09626475252826E-10     7.33191301648107E-08     9.07013389796530E-08     8.33326711398088E-02     9.07013389796530E-08     7.33191272604502E-08     4.09629379613382E-10     5.61857519063842E+11     1.25000000000000E-02
     4.12903450598630E-10     7.39056808963076E-08     9.14269468050921E-08     8.33326685089377E-02     9.14269468050921E-08     7.39056779452916E-08     4.12906401614611E-10     5.66352361318624E+11     1.26000000000000E-02
     4.16180425365762E-10     7.44922315911405E-08     9.21525545847153E-08     8.33326658780668E-02     9.21525545847153E-08     7.44922285930973E-08     4.16183423408924E-10     5.70847203289314E+11     1.27000000000000E-02
     4.19457399554222E-10     7.50787822493095E-08     9.28781623185225E-08     8.33326632471961E-02     9.28781623185225E-08     7.50787792038674E-08     4.19460444996321E-10     5.75342044975913E+11     1.28000000000000E-02
     4.22734373164009E-10     7.56653328708146E-08     9.36037700065138E-08     8.33326606163255E-02     9.36037700065138E-08     7.56653297776018E-08     4.22737466376802E-10     5.79836886378419E+11     1.29000000000000E-02
     4.26011346195124E-10     7.62518834556558E-08     9.43293776486891E-08     8.33326579854551E-02     9.43293776486891E-08     7.62518803143005E-08     4.26014487550367E-10     5.84331727496835E+11     1.30000000000000E-02
     4.29288318647566E-10     7.68384340038330E-08     9.50549852450484E-08     8.33326553545849E-02     9.50549852450484E-08     7.68384308139636E-08     4.29291508517016E-10     5.88826568331158E+11     1.31000000000000E-02
     4.32565290521336E-10     7.74249845153463E-08     9.57805927955918E-08     8.33326527237148E-02     9.57805927955918E-08     7.74249812765909E-08     4.32568529276748E-10     5.93321408881390E+11     1.32000000000000E-02
     4.35842261816434E-10     7.80115349901957E-08     9.65062003003193E-08     8.33326500928449E-02     9.65062003003193E-08     7.80115317021826E-08     4.35845549829565E-10     5.97816249147531E+11     1.33000000000000E-02
     4.39119232532859E-10     7.85980854283812E-08     9.72318077592308E-08     8.33326474619752E-02     9.72318077592308E-08     7.85980820907386E-08     4.39122570175466E-10     6.02311089129579E+11     1.34000000000000E-02
     4.42396202670612E-10     7.91846358299027E-08     9.79574151723263E-08     8.33326448311056E-02     9.79574151723263E-08     7.91846324422589E-08     4.42399590314451E-10     6.06805928827536E+11     1.35000000000000E-02
     4.45673172229692E-10     7.97711861947603E-08     9.86830225396059E-08     8.33326422002362E-02     9.86830225396059E-08     7.97711827567435E-08     4.45676610246519E-10     6.11300768241402E+11     1.36000000000000E-02
     4.48950141210100E-10     8.03577365229540E-08     9.94086298610696E-08     8.33326395693670E-02     9.94086298610696E-08     8.03577330341925E-08     4.48953629971672E-10     6.15795607371176E+11     1.37000000000000E-02
