!28P (3+, 2+, 3+, 0+, 1+, 1+, 2+) -> 28Si,  e-capture,  with screening effects
!USDB    GT+F                Q=14.3437 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.08              8.90              4.10750e-06  1.24505e-07  4.07113e-08   5.87130e-01      4.64633e-05      5.13346e-05
8.08              8.95              4.10494e-06  1.23544e-07  4.07113e-08   5.85380e-01      4.61966e-05      5.12402e-05
8.08              9.00              4.10189e-06  1.22518e-07  4.07113e-08   5.83700e-01      4.59421e-05      5.11576e-05
8.08              9.05              4.09773e-06  1.21445e-07  4.07113e-08   5.82160e-01      4.57099e-05      5.10988e-05
8.08              9.10              4.09276e-06  1.20291e-07  4.07113e-08   5.80850e-01      4.55104e-05      5.10517e-05
8.08              9.15              4.08651e-06  1.19074e-07  4.07113e-08   5.79790e-01      4.53535e-05      5.10400e-05
8.08              9.20              4.07850e-06  1.17792e-07  4.07113e-08   5.79070e-01      4.52491e-05      5.10635e-05
8.08              9.25              4.06857e-06  1.16446e-07  4.07113e-08   5.78700e-01      4.52075e-05      5.11223e-05
8.08              9.30              4.05591e-06  1.15004e-07  4.07113e-08   5.78840e-01      4.52387e-05      5.12402e-05
8.08              9.35              4.04005e-06  1.13514e-07  4.07113e-08   5.79500e-01      4.53430e-05      5.14174e-05
8.08              9.40              4.02018e-06  1.11928e-07  4.07113e-08   5.80800e-01      4.55628e-05      5.16786e-05
8.08              9.45              3.99487e-06  1.10262e-07  4.07113e-08   5.82850e-01      4.58998e-05      5.20248e-05
8.08              9.50              3.96330e-06  1.08531e-07  4.07113e-08   5.85850e-01      4.63992e-05      5.25062e-05
8.08              9.55              3.92341e-06  1.06705e-07  4.07113e-08   5.89890e-01      4.70772e-05      5.31142e-05
8.08              9.60              3.87326e-06  1.04814e-07  4.07113e-08   5.95220e-01      4.79855e-05      5.39275e-05
