!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.096478e+08 3.162278e+08 -1.064168e-07 3.159499e-08 4.003848e-06 2.221621e+00 1.361762e-05 3.911572e-06
1.096478e+08 3.548134e+08 -1.058080e-07 3.159499e-08 4.003527e-06 2.239494e+00 1.376136e-05 3.885718e-06
1.096478e+08 3.981072e+08 -1.051671e-07 3.159499e-08 4.003047e-06 2.258916e+00 1.391814e-05 3.857637e-06
1.096478e+08 4.466836e+08 -1.044782e-07 3.159499e-08 4.002406e-06 2.279450e+00 1.408385e-05 3.827995e-06
1.096478e+08 5.011872e+08 -1.037412e-07 3.159499e-08 4.001605e-06 2.300594e+00 1.425448e-05 3.797443e-06
1.096478e+08 5.623413e+08 -1.029561e-07 3.159499e-08 4.000483e-06 2.321881e+00 1.442618e-05 3.766789e-06
1.096478e+08 6.309573e+08 -1.021230e-07 3.159499e-08 3.999201e-06 2.342934e+00 1.459591e-05 3.736382e-06
1.096478e+08 7.079458e+08 -1.012578e-07 3.159499e-08 3.997599e-06 2.363306e+00 1.476085e-05 3.706989e-06
1.096478e+08 7.943282e+08 -1.003125e-07 3.159499e-08 3.995516e-06 2.382868e+00 1.491974e-05 3.678759e-06
1.096478e+08 8.912509e+08 -9.933516e-08 3.159499e-08 3.992953e-06 2.401375e+00 1.506993e-05 3.652005e-06
1.096478e+08 1.000000e+09 -9.827772e-08 3.159499e-08 3.989749e-06 2.418689e+00 1.521147e-05 3.627115e-06
1.096478e+08 1.122018e+09 -9.718824e-08 3.159499e-08 3.985583e-06 2.434838e+00 1.534374e-05 3.604054e-06
1.096478e+08 1.258925e+09 -9.601865e-08 3.159499e-08 3.980456e-06 2.449740e+00 1.546719e-05 3.582955e-06
1.096478e+08 1.412538e+09 -9.478497e-08 3.159499e-08 3.973887e-06 2.463542e+00 1.558193e-05 3.563948e-06
1.096478e+08 1.584893e+09 -9.350322e-08 3.159499e-08 3.965716e-06 2.476224e+00 1.568922e-05 3.547001e-06
1.096478e+08 1.778279e+09 -9.214137e-08 3.159499e-08 3.955302e-06 2.487941e+00 1.578997e-05 3.532249e-06
1.096478e+08 1.995262e+09 -9.073145e-08 3.159499e-08 3.942324e-06 2.498849e+00 1.588552e-05 3.519746e-06
1.096478e+08 2.238721e+09 -8.924143e-08 3.159499e-08 3.925982e-06 2.509112e+00 1.597833e-05 3.509549e-06
1.096478e+08 2.511886e+09 -8.768731e-08 3.159499e-08 3.905314e-06 2.519011e+00 1.606983e-05 3.501800e-06
1.096478e+08 2.818383e+09 -8.606911e-08 3.159499e-08 3.879519e-06 2.528890e+00 1.616633e-05 3.496563e-06
1.096478e+08 3.162278e+09 -8.438682e-08 3.159499e-08 3.846834e-06 2.539218e+00 1.626714e-05 3.494309e-06
1.096478e+08 3.548134e+09 -8.264044e-08 3.159499e-08 3.805658e-06 2.550586e+00 1.638367e-05 3.495275e-06
1.096478e+08 3.981072e+09 -8.082998e-08 3.159499e-08 3.754068e-06 2.563717e+00 1.652005e-05 3.499623e-06
1.096478e+08 4.466836e+09 -7.895543e-08 3.159499e-08 3.689019e-06 2.579586e+00 1.668827e-05 3.508014e-06

1.148154e+08 1.000000e+07 -1.155813e-07 3.207564e-08 4.056560e-06 2.148770e+00 1.301431e-05 3.997066e-06
1.148154e+08 1.584893e+07 -1.152608e-07 3.207564e-08 4.057841e-06 2.148473e+00 1.301192e-05 3.996422e-06
1.148154e+08 2.511886e+07 -1.148443e-07 3.207564e-08 4.059764e-06 2.147534e+00 1.300413e-05 3.994398e-06
1.148154e+08 3.981072e+07 -1.142675e-07 3.207564e-08 4.062167e-06 2.145409e+00 1.298558e-05 3.989710e-06
1.148154e+08 6.309573e+07 -1.134984e-07 3.207564e-08 4.063930e-06 2.143384e+00 1.296825e-05 3.985211e-06
1.148154e+08 1.000000e+08 -1.124570e-07 3.207564e-08 4.064570e-06 2.142397e+00 1.296049e-05 3.981450e-06
1.148154e+08 1.122018e+08 -1.121526e-07 3.207564e-08 4.064731e-06 2.142693e+00 1.296287e-05 3.979892e-06
1.148154e+08 1.258925e+08 -1.118161e-07 3.207564e-08 4.064731e-06 2.143483e+00 1.296944e-05 3.977693e-06
1.148154e+08 1.412538e+08 -1.114637e-07 3.207564e-08 4.064570e-06 2.145162e+00 1.298289e-05 3.974398e-06
1.148154e+08 1.584893e+08 -1.110791e-07 3.207564e-08 4.064570e-06 2.147979e+00 1.300593e-05 3.969367e-06
1.148154e+08 1.778279e+08 -1.106626e-07 3.207564e-08 4.064410e-06 2.152385e+00 1.304161e-05 3.962245e-06
1.148154e+08 1.995262e+08 -1.102300e-07 3.207564e-08 4.064410e-06 2.158738e+00 1.309276e-05 3.952404e-06
1.148154e+08 2.238721e+08 -1.097654e-07 3.207564e-08 4.064250e-06 2.167405e+00 1.316229e-05 3.939320e-06
1.148154e+08 2.511886e+08 -1.092527e-07 3.207564e-08 4.063930e-06 2.178462e+00 1.325139e-05 3.923027e-06
1.148154e+08 2.818383e+08 -1.087239e-07 3.207564e-08 4.063769e-06 2.191896e+00 1.335953e-05 3.903294e-06
1.148154e+08 3.162278e+08 -1.081472e-07 3.207564e-08 4.063449e-06 2.207700e+00 1.348656e-05 3.880354e-06
1.148154e+08 3.548134e+08 -1.075383e-07 3.207564e-08 4.062968e-06 2.225512e+00 1.362954e-05 3.854706e-06
1.148154e+08 3.981072e+08 -1.068814e-07 3.207564e-08 4.062488e-06 2.244916e+00 1.378546e-05 3.826761e-06
1.148154e+08 4.466836e+08 -1.061925e-07 3.207564e-08 4.061847e-06 2.265374e+00 1.395023e-05 3.797268e-06
1.148154e+08 5.011872e+08 -1.054555e-07 3.207564e-08 4.061046e-06 2.286441e+00 1.411989e-05 3.766876e-06
1.148154e+08 5.623413e+08 -1.046544e-07 3.207564e-08 4.060084e-06 2.307703e+00 1.429063e-05 3.736382e-06
