Label|Author|Title|Publisher|Year|
wa19|A. Wallner et al.|Stellar and thermal neutron capture cross section of 9Be|PRC99 (2019) 015804|2019
wag|R V Wagoner|Synthesis of the Elements Within Objects Exploding from Very High Temperatures|ApJSup, 162, 18, 247|1969
wawo|R K Wallace|Explosive hydrogen burning|ApJSup V45, 389|1981
wc07|J. K. Tuli|weak rates from the Nuclear Wallet Cards|National Nuclear Data Center|2007
wc12|J. K. Tuli|Weak rates from the Nuclear Wallet Cards|National Nuclear Data Center|2012
wc17|-|Weak rates from the Nuclear Wallet Cards|National Nuclear Data Center|2017
wd09|Wrede, C.|Thermonuclear 25Al( p, &gamma; )26Si reaction rate in classical novae and Galactic 26Al|PHYSICAL REVIEW C 79, 035803|2009
wfh|R V Wagoner|On the Synthesis of Elements at Very High Temperatures|ApJ 148, 3|1967
wh87|M.Wiescher|Alpha-burning of O14|ApJ 316, 162-171|1987
wi2p|Schatz|2p capture reaction|Physics Rep. 294 167|1998
wien|Forstner|Thermonuclear reaction rate of Ni56(p,&gamma;)Cu57 and Cu57(p,&gamma;)Zn58|Physics Review C 64 045801|2001
wien2|-|Thermonuclear reaction rate of Ni56(p,&gamma;)Cu57 and Cu57(p,&gamma;)Zn58|Physics Review C 64 045801|2001
wies|michael wiescher|various|-|2000
wr09|Wrede, C.|Thermonuclear 30S( p, &gamma; )31Cl reaction in type I x-ray bursts|PHYSICAL REVIEW C 79, 045808|2009
ww02|S. Wilmes, V. Wilmes, G. Staudt, P. Mohr|The N15(a,&gamma;)F19 reaction and nucleosynthesis of F19|PRC 66, 065802|2002
debo|deBoer, R. J.|The 12C(&alpha;,&gamma;)16O reaction and its implications for stellar helium burning|Reviews of Modern Physics, Vol. 89, Issue 3; ISSN 0034-6861|2017
langanke|K. Langanke, G. Martínez-Pinedo|Rate Tables for the Weak Processes of pf-Shell Nuclei in Stellar Environments|Atomic Data and Nuclear Data Tables, Volume 79, Issue 1|2001
suzuki|T. Suzuki, H. Toki, K. Nomoto|Electron Capture and &beta;-Decay Rates for sd-Shell Nuclei in Stellar Environments Relevant to High-Density O-NE-MG Cores|The Astrophysical Journal, Volume 817, Number 2|2016
ffn|G. M. Fuller, W. A. Fowler, M. J. Newman|Stellar weak interaction rates for intermediate mass nuclei. III - Rate tables for the free nucleons and nuclei with A = 21 to A = 60|Astrophysical Journal Supplement, 48, 279|1982
oda|T. Oda, M. Hino, K. Muto, M.Takahara, K. Sato|Rate Tables for the Weak Processes of sd-Shell Nuclei in Stellar Matter|Atomic Data and Nuclear Data Tables, Volume 56, Issue 2|1994
pruet_fuller|J. Pruet, G. M. Fuller|Estimates of Stellar Weak Interaction Rates for Nuclei in the Mass Range A=65-80|Astrophysical Journal Supplement, 149, 189|2003
iliadis2022|C. Iliadis, V. Palanivelrajan, R. S. de Souza|Bayesian estimation of the ?factor and thermonuclear reaction rate for 16O(?,?)17F|Phys Rev C 106, 055802|2022
